dataset,group,matrix_dim,matrix_nnz,matrix_sparsity,vector_nnz,vector_sparsity,mode,cores,scf_median_s,splyce_median_s
barth4,Pothen,6019,40965,0.998869256050529,2,0.998869256050529,multicore,32,6.1e-05,5.8e-05
power197k,PowerSystem,197156,805839,0.9999792686165135,6,0.9999792686165135,multicore,32,0.00178,0.001214
analytics,Precima,303813,2006126,0.9999782657078639,11,0.9999782657078639,multicore,32,0.001916,0.001311
ABACUS_shell_ud,Puri,23412,218484,0.9996013951236351,11,0.9996013951236351,multicore,32,0.000131,0.000121
majorbasis,QLi,160000,1750416,0.999931624375,10,0.999931624375,multicore,32,0.00069,0.000551
case9,QY,14454,147972,0.9992917225043327,7,0.9992917225043327,multicore,32,0.000172,0.000154
viscoplastic1,Quaglino,4326,61166,0.9967315860896783,19,0.9967315860896783,multicore,32,8.1e-05,6.4e-05
rajat10,Rajat,30202,130303,0.9998571490910061,3,0.9998571490910061,multicore,32,0.000103,9.9e-05
laminar_duct3D,Raju,67173,3788857,0.9991603104952476,64,0.9991603104952476,multicore,32,0.002597,0.000807
bips98_606,Rommes,7135,34738,0.9993176348222709,6,0.9993176348222709,multicore,32,7.3e-05,6.8e-05
xenon1,Ronis,48600,1181120,0.9994999407271926,31,0.9994999407271926,multicore,32,0.000675,0.000452
cfd1,Rothberg,70656,1825580,0.999634318681255,22,0.999634318681255,multicore,32,0.000859,0.000399
water_tank,Rudnyi,60740,2035281,0.9994483357979064,35,0.9994483357979064,multicore,32,0.001087,0.000521
soc-sign-Slashdot090216,SNAP,81871,545671,0.9999185913255212,10,0.9999185913255212,multicore,32,0.000554,0.000341
fpga_dcop_38,Sandia,1220,5892,0.9960413867239989,8,0.9960413867239989,multicore,32,5.1e-05,5.1e-05
ecl32,Sanghavi,51993,380415,0.9998592760946348,7,0.9998592760946348,multicore,32,0.00028,0.000156
nlpkkt160,Schenk,8345600,225422112,0.9999967634569827,86,0.99999,multicore,32,0.15386,0.10826
af_shell2,Schenk_AFE,504855,17562051,0.9999310964004178,35,0.9999310964004178,multicore,32,0.00761,0.005885
c-39,Schenk_IBMNA,9271,116587,0.9986435713160411,14,0.9986435713160411,multicore,32,0.000177,0.000138
3D_51448_3D,Schenk_IBMSDS,51448,537038,0.999797106551537,7,0.999797106551537,multicore,32,0.000302,0.000239
barrier2-1,Schenk_ISEI,113076,2129496,0.9998334533297503,19,0.9998334533297503,multicore,32,0.001806,0.001008
shermanACd,Shen,6136,53329,0.9985835777568508,8,0.9985835777568508,multicore,32,6.5e-05,7e-05
shyy41,Shyy,4720,20042,0.9991003842286699,8,0.9991003842286699,multicore,32,5.6e-05,5.8e-05
raefsky4,Simon,19779,1316789,0.9966340510182897,71,0.9966340510182897,multicore,32,0.000765,0.000443
Linux_call_graph,Sorensen,324085,1208908,0.9999884899982288,6,0.9999884899982288,multicore,32,0.001055,0.000593
Ill_Stokes,Szczerba,20896,191368,0.9995617287334461,5,0.9995617287334461,multicore,32,5.9e-05,4.5e-05
ACTIVSg10K,TAMU_SmartGridCenter,20000,135888,0.99966028,5,0.99966028,multicore,32,5e-05,3.8e-05
cbuckle,TKK,13681,676515,0.9963855539677694,51,0.9963855539677694,multicore,32,0.000195,0.000138
utm1700b,TOKAMAK,1700,21509,0.9925574394463668,17,0.9925574394463668,multicore,32,1.2e-05,1.1e-05
TSOPF_FS_b39_c19,TSOPF,76216,1977600,0.9996595556359303,26,0.9996595556359303,multicore,32,0.002346,0.001694
language,Tromble,399130,1216334,0.9999923647352178,5,0.99999,multicore,32,0.000714,0.000538
Dubcova2,UTEP,65025,1030225,0.9997563472245687,20,0.9997563472245687,multicore,32,0.00048,0.000214
2cubes_sphere,Um,101492,1647264,0.9998400811766426,13,0.9998400811766426,multicore,32,0.000438,0.000328
spaceShuttleEntry_3,VDOL,1834,28757,0.9914504173559173,26,0.9914504173559173,multicore,32,1.8e-05,1.4e-05
test1,VLSI,392908,9447535,0.9999388020652313,30,0.9999388020652313,multicore,32,0.00433,0.00239
Zd_Jac3_db,VanVelzen,22835,713907,0.998630886009337,33,0.998630886009337,multicore,32,0.0003,0.00026
av41092,Vavasis,41092,1683902,0.9990027541128269,42,0.9990027541128269,multicore,32,0.001009,0.000884
swang1,Wang,3169,20841,0.9979247325458118,3,0.9979247325458118,multicore,32,1.2e-05,1.2e-05
chem_master1,Watson,40401,201201,0.9998767332614914,7,0.9998767332614914,multicore,32,7.2e-05,6.2e-05
webbase-1M,Williams,1000005,3105536,0.9999968944950551,11,0.99999,multicore,32,0.002663,0.001896
parabolic_fem,Wissgott,525825,3674625,0.9999867098291378,10,0.9999867098291378,multicore,32,0.001172,0.000783
circuit204,YZhou,1020,5883,0.9943454440599769,4,0.9943454440599769,multicore,32,7e-06,7e-06
kkt_power,Zaoui,2063494,12771361,0.9999970006250491,19,0.99999,multicore,32,0.008719,0.006454
Zhao1,Zhao,33861,166453,0.9998548249222254,9,0.9998548249222254,multicore,32,7.1e-05,5.6e-05
hydr1c,Zitney,5308,22592,0.9991981505216848,10,0.9991981505216848,multicore,32,1.9e-05,1.8e-05
cage9,vanHeukelum,3534,41594,0.9966695908034138,15,0.9966695908034138,multicore,32,2e-05,1.8e-05
