dataset,group,shape,nnz,format,mode,cores,scf_median_s,splyce_median_s
bips98_606,Rommes,7135x7135,34738,dense,multicore,32,0.265354,0.253389
xenon1,Ronis,48600x48600,1181120,dense,multicore,32,15.857206,15.058072
cfd1,Rothberg,70656x70656,1825580,dense,multicore,32,35.114248,31.812412
water_tank,Rudnyi,60740x60740,2035281,dense,multicore,32,30.577211,25.546883
soc-sign-Slashdot090216,SNAP,81871x81871,545671,dense,multicore,32,55.934684,51.353624
fpga_dcop_38,Sandia,1220x1220,5892,dense,multicore,32,0.004297,0.003364
ecl32,Sanghavi,51993x51993,380415,dense,multicore,32,14.715527,14.258722
c-39,Schenk_IBMNA,9271x9271,116587,dense,multicore,32,1.076261,0.939064
3D_51448_3D,Schenk_IBMSDS,51448x51448,537038,dense,multicore,32,18.398437,16.761802
barrier2-1,Schenk_ISEI,113076x113076,2129496,dense,multicore,32,179.823433,118.679315
thermal1,Schmid,82654x82654,574458,dense,multicore,32,37.985227,36.189012
shermanACd,Shen,6136x6136,53329,dense,multicore,32,0.322833,0.285625
shyy41,Shyy,4720x4720,20042,dense,multicore,32,0.100571,0.100268
raefsky4,Simon,19779x19779,1316789,dense,multicore,32,6.175099,4.163368
Ill_Stokes,Szczerba,20896x20896,191368,dense,multicore,32,2.729452,2.459183
ACTIVSg10K,TAMU_SmartGridCenter,20000x20000,135888,dense,multicore,32,2.344372,2.057396
cbuckle,TKK,13681x13681,676515,dense,multicore,32,2.23482,1.696417
utm1700b,TOKAMAK,1700x1700,21509,dense,multicore,32,0.011002,0.005111
TSOPF_FS_b39_c19,TSOPF,76216x76216,1977600,dense,multicore,32,134.909749,98.254811
Dubcova2,UTEP,65025x65025,1030225,dense,multicore,32,35.547765,28.582224
2cubes_sphere,Um,101492x101492,1647264,dense,multicore,32,71.343942,63.587851
spaceShuttleEntry_3,VDOL,1834x1834,28757,dense,multicore,32,0.01969,0.014237
Zd_Jac3_db,VanVelzen,22835x22835,713907,dense,multicore,32,5.394145,4.784964
av41092,Vavasis,41092x41092,1683902,dense,multicore,32,28.8655,20.455677
swang1,Wang,3169x3169,20841,dense,multicore,32,0.049139,0.046257
chem_master1,Watson,40401x40401,201201,dense,multicore,32,7.351763,7.498735
circuit204,YZhou,1020x1020,5883,dense,multicore,32,0.002741,0.002323
Zhao1,Zhao,33861x33861,166453,dense,multicore,32,5.469786,5.28864
hydr1c,Zitney,5308x5308,22592,dense,multicore,32,0.129478,0.128456
cage9,vanHeukelum,3534x3534,41594,dense,multicore,32,0.074729,0.070413
